,CompanyName,CompanyNumber,names,roles
64059,7DIGITAL GROUP PLC,03958483,"['JUSKIEWICZ, Michael:', 'FOSTER, Mark:', 'GILDER, Helen Patricia:', 'JUSKIEWICZ, Michael:', 'KOCH, Tamir:', 'LANGWORTHY, Paul Richard Ian:', 'LAZARUS, David:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
66376,85 DEGREES RENEWABLE PLC,13150281,"['KILLMAN, Brian:', 'BRUGGINK, Maarten:', 'DUIJNDAM, Bart Edward:', 'THAIN, Gregory:']","['Secretary', 'Director', 'Director', 'Director']"
70285,@SOFTWARE PLC,03810263,"['DUNCAN, Ronald James:', 'DUNCAN, Ronald James:']","['Secretary', 'Nominee Director']"
70315,@UKPLC CLIENT DIRECTOR LTD,04354076,"['DUNCAN PARTNERSHIP SECRETARY LIMITED:', 'DAVIS, Andrew Simon:', 'DUNCAN PARTNERSHIP LIMITED:']","['Nominee Secretary', 'Director', 'Nominee Director']"
70316,@UKPLC CLIENT SECRETARY LTD,04354079,"['DUNCAN PARTNERSHIP SECRETARY LIMITED:', 'DAVIS, Andrew Simon:', 'DUNCAN PARTNERSHIP LIMITED:']","['Nominee Secretary', 'Director', 'Nominee Director']"
70317,@UKPLC COMPANY REGISTRATION LIMITED,08733395,"['DAVIS, Andrew Simon:']",['Director']
76365,A C PLC,06526121,"['DOUTY, Angela Elizabeth:', 'CARSS, Stuart David:', 'DOUTY, Angela Elizabeth:', 'KERSHAW, Jeremy James:', 'LAING, Andrew Colin:', 'LAING, Claire Vanessa:', 'LOUSADA, Simon Charles:', 'THOMPSON, Mark:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
85535,A SHADE GREENER MONEY PLC,08659252,"['CUNDALL, Anthony William Jude:', 'DAVIES, Stewart James:']","['Director', 'Director']"
90100,A&O IT GROUP PLC,10843221,"['MOORE, Elizabeth Ann:', 'MOORE, Roderick Russell:', 'RIDGWELL, Raymond Francis:']","['Secretary', 'Director', 'Director']"
91915,A. & H. CONSTRUCTION AND DEVELOPMENTS PLC,02580900,"['SMITH, Louise Marie:', 'ADAMS, Barry Anthony:', 'CUTLER, Steven John:', 'HEAD, Martin:', 'MOTTRAM, Robert James:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
93729,A.B. PRODUCE PLC,02240234,"['TOMKINSON, Derek William:', 'BRIDGEN, Paul Julian:', 'ELLIS, Peter John:', 'SHARRATT, Neil Andrew:', 'TOMKINSON, Derek William:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
95187,A.G. BARR P.L.C.,SC005653,"['BARR, Julie Anne:', 'BARR, William Robin Graham:', 'BARRATT, Susan Verity:', 'KEMP, Jonathan David:', 'LORIMER, Stuart:', 'NICOLSON, John Ross:', 'POWELL, Pamela:', 'RITCHIE, David James:', 'WHARTON, Nicholas Barry Edward:', 'WHITE, Roger Alexander:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
95365,A.G.LEVENTIS (NIGERIA) PLC.,FC004809,"['ADETONA, Ademola Olaniyi:', 'ADESANYA, Adebisi Ali:', 'ADETONA, Ademola Olaniyi:', 'AHMADU, Ambassador Hamzat:', 'BAYERO, Mallam Abdulahi:', 'BAZAYE (JP), Joseph Aigbosuria, Chief:', 'CONSTANTINOU, Gabriel:', 'COSTANTINIDIS, Stephanos, Dr:', 'DAVID, Harry George:', 'IGE, Samuel Oladele, Sir:', 'ODOGWU, Victor Chuks, Chief:', 'OKE, Joseph Babtunde:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
101756,A2D FUNDING II PLC,09136166,"['LAW DEBENTURE CORPORATE SERVICES LIMITED:', 'FILER, Mark Howard:', 'L.D.C. CORPORATE DIECTOR NO. 3 LIMITED:', 'L.D.C. CORPORATE DIRECTOR NO.4 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
101757,A2D FUNDING PLC,08641714,"['LAW DEBENTURE CORPORATE SERVICES LIMITED:', 'FILER, Mark Howard:', 'L.D.C. CORPORATE DIRECTOR NO. 3 LIMITED:', 'L.D.C. CORPORATE DIRECTOR NO. 4 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
103635,AA PLC,05149111,"['HOOSEN, Nadia:', 'BREAKWELL, Simon John:', 'DANGERFIELD, Kevin Jeremy:']","['Secretary', 'Director', 'Director']"
107835,AASHNI HOLDINGS PLC,11034113,"['DERRINGTONS LIMITED:', 'DOSHI, Anshul Gautam:', 'HONEYBORNE, Christopher Henry Bruce, Dr:', 'SHAH, Aashni:', 'TRACEY, Paul Christopher Neame:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
108684,AB DYNAMICS PLC,08393914,"['JACKSON, Felicity Elaine:', 'BEST, Anthony:', 'ELSY, Richard Peter:', 'EVANS, Louise Margaret:', 'HICKINBOTHAM, Richard:', 'MATTHEWS-DEMERS, Sarah Louise:', 'ROUTH, James Mathew, Dr:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
110748,ABAKUS INVEST PLC,12873527,"['MARGARETTA CORPORATE SECRETARIES LTD:', 'GREGORY, Brian:', 'HAMBUSCH, Lutz Walter Heinrich, Dr:']","['Secretary', 'Director', 'Director']"
112284,ABBEY NATIONAL LIFE PLC,SA134205,[],[]
114902,ABC INTERNATIONAL BANK PLC,02564490,"['KORKODILOS, Constantine:', 'ADRIAN, Rajeev Santhiapillai:', 'AL-AWADI, Yousef Abdullah, Dr:', 'EASTHAM FISK, Vanessa:', 'ELKABER, Saddek Omar Ali:', 'KAWAN, Khaled Said Ramadan, Dr:', 'NEDEN, Andrew Frederick John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
115417,ABCAM PLC,03509322,"['PERKINS, Marc Leigh Russell:', 'ALLEN, Peter Vance:', 'ASPINALL, Mara Glickman:', 'BALDOCK, Michael Shaun:', 'CAPONE, Mark Christopher:', 'HIRZEL, Alan Thomas:', 'KERR, Giles Francis Bertram:', 'LEE, Chienling:', 'PATTEN, Louise Alexandra Virginia Charlotte, Lady:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
116926,ABERDEEN ASSET MANAGEMENT PLC,SC082015,"['GILMOUR, Kenneth Arthur:', 'BARTLETT, Patrick David:', 'MCGOWAN, Fiona Jean:', 'TOLLMAN, Brett Marc:']","['Secretary', 'Director', 'Director', 'Director']"
117024,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,SC003721,"['ABERDEEN ASSET MANAGEMENT PLC:', 'BRADLEY, Trevor Bryan:', 'CHALLENOR, Thomas William:', 'SINCLAIR, Julian:', 'TROUP, Anna Evelyn:', 'WALTER, Davina Jane:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
117164,ABERDEEN JAPAN INVESTMENT TRUST PLC,03582911,"['ABERDEEN ASSET MANAGEMENT PLC:', 'BOYLE, Claire Marguerite:', 'BRADE, Karen Mary:', 'DEAN, Simon Stuart:', 'WARREN, David Alexander, Sir:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
117213,ABERDEEN NEW DAWN INVESTMENT TRUST PLC,02377879,"['ABERDEEN ASSET MANAGEMENT PLC:', 'SEARS, Marion Jane:', 'SOUCHON, Stephen Alec:', 'WORKMAN, John Donald Black:', 'YOUNG, Hugh:', 'YUEN, Nicole Shuk Kam:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
117214,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,02902424,"['ABERDEEN ASSET MANAGEMENT PLC:', 'ASKARI, Hasan:', 'DONALDSON, Rebecca Mary:', 'HUGHES, Michael:', 'WHITE, Stephen Frank:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
117215,ABERDEEN NEW THAI INVESTMENT TRUST PLC,02448580,"['ABERDEEN ASSET MANAGEMENT PLC:', 'GILDING, Anne Sarah:', 'MACAULAY, Sarah Juliet:', 'POMFRET, Andrew David:', 'SMITH, Nicholas Michael Norman:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
117226,ABERDEEN OIL PLC,13096176,"['COOMBES, Toby:', 'COOMBES, Lewis:', 'COOMBES, Toby:']","['Secretary', 'Director', 'Director']"
117292,ABERDEEN ROADS (FINANCE) PLC,SC489591,"['HOLDEN, Rosamond:', 'BAXTER, Mark:', 'GUILD, John Maclean:', 'RAE, Neil:', 'RITCHIE, Alan Campbell:', 'STANTON, Matthew:', 'WALKER, Brian Roland:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
117321,ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,SC137448,"['ABERDEEN ASSET MANAGEMENT PLC:', 'FLETCHER, David Faviell:', 'KERSHAW, Dagmar Kent:', 'LISTER, Charles Robert:', 'ROSE, Barry Michael:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
117339,ABERDEEN STANDARD ASIA FOCUS PLC,03106339,"['ABERDEEN ASSET MANAGEMENT PLC:', 'BLACK, Charlotte Mary:', 'CAYZER, Nigel Kenneth:', 'GUTHRIE, Debbie Jane:', 'MCDONNELL, Randal Alexander St John:', 'SHANMUGANATHAN, Krishna:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
117345,ABERDEEN STANDARD EQUITY INCOME TRUST PLC,02648152,"['ABERDEEN ASSET MANAGEMENT PLC:', 'HITCH, Caroline Margaret:', 'PATEL, Sarika Bijendra:', 'TIGUE, Jeremy John:', 'WHITE, Mark Barry Ewart:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
117351,ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,11032222,"['ABERDEEN ASSET MANAGEMENT PLC:', 'GULLIVER, Caroline:', 'HEAWOOD, John Anthony Nicholas:', 'ROPER, Anthony Charles:', 'WILDE, Diane:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
117582,ABERFORTH SMALLER COMPANIES TRUST PLC,SC126524,"['ABERFORTH PARTNERS LLP:', 'DAVIDSON, Richard Gavin:', 'HAY-PLUMB, Paula Maria:', 'LE BLAN, Julia:', 'STEWART, Victoria Katerine:', 'WARNER, Martin Russell:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
117585,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,10730910,"['ABERFORTH PARTNERS LLP:', 'BISSETT, Graeme:', 'FISHER, John Dominic Mortimer:', 'GORDON LENNOX, Angus Charles:', 'JACKSON, Veronica Lesley:', 'MENZIES, Graham Reid:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
118075,ABF INVESTMENTS PLC,00306672,"['CAHILL, Raymond Gerrard:', 'BASON, John George:', 'SMITH, Andrew Arthur:']","['Secretary', 'Director', 'Director']"
119357,ABINGDON HEALTH PLC,06475379,"['PAGE, Scott Andrew:', 'HAND, Christopher William, Dr:', 'REES, Lyn Dafydd:', 'ROSS, Melanie:', 'TAVENER, Mary Geraldine:', 'YATES, Chris Henry Francis:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
122303,ABP FINANCE PLC,07847174,"['MORGAN, Angela Mary:', 'KENNEDY, Shaun Richard:', 'PEDERSEN, Henrik Lundgaard:', 'WYATT, Marina May:', 'WILMINGTON TRUST SP SERVICES (LONDON) LIMITED:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
126128,ABYSSINIAN GOLD PLC,12772265,"['HARBER, Ben:', 'TRAICOS, Athanasios John:', 'FALBO, Vincenzo:', 'MILLER, Stephen William:', 'TINNEY, Christopher Bruce:', 'TRAICOS, Athanasios John:', 'WARBURTON, Neil Fredrick:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
127575,ACACIA PHARMA GROUP PLC,09759376,"['ELSLEY, Anne-Marie Louise Soeiro:', 'BOLINDER, Michael John:', 'BORKOWSKI, Edward Joseph:', 'BROWN, John Robert:', 'BYRD, Scott Allen:', 'DELLA CHÀ, Alessandro:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
128149,ACADEMY OF DREAMS HOLDINGS PLC,08753624,"['HIPKISS, Richard George:', 'HIPKISS, Richard George:', 'PRICE, Anthony Paul:']","['Secretary', 'Director', 'Director']"
128531,ACAMAR TECHNOLOGY PLC,08304752,"['SELOSSE, Jerome:', 'PSZCZOLA, Marc Luc Noel:', 'SELOSSE, Jerome:']","['Secretary', 'Director', 'Director']"
129557,ACCENT CAPITAL PLC,12007129,"['SUGDEN, Matthew Harry:', 'COCKELL, Stephen:', 'DOLAN, Paul Kevin:', 'MISKELL, Thomas Michael:', 'ROYSTON, David Michael:', 'SELDON, Robert Duncan:', 'SUGDEN, Matthew Harry:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
129722,ACCENTURE PLC,FC023246,"['LINE SECRETARIES LIMITED:', 'BURTON, Daniel Kenneth:', 'ROWE, Patrick Brian Francis:']","['Secretary', 'Director', 'Director']"
130052,ACCESS COMMERCIAL INVESTORS 4 PLC,10620505,"['CARNELL, John Miles:', 'CARNELL, John Miles:', 'REDDEN, Alexander Marcus:']","['Secretary', 'Director', 'Director']"
130067,ACCESS COMPUTER CONSULTING PLC,03239279,"['BUTLER-MCALLISTER, David John:', 'HEAD, Anthony:']","['Director', 'Director']"
130320,ACCESS INTELLIGENCE PLC,04799195,"['BEYOND GOVERNANCE LIMITED:', 'ARNOLD, Marguarite Joanna:', 'FAUTLEY, Mark Stephen:', 'HAMER, Jeremy John:', 'JACKSON, Michael Edward Wilson:', 'PILLING, Christopher Charles:', 'SATTERTHWAITE, Christopher James:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
130901,ACCESSO TECHNOLOGY GROUP PLC,03959429,"['BRUCE, Martha Blanche Waymark:', 'BROWN, Steven Kyle:', 'MACDONALD, Fern:', 'MADDEN, Jody Rae, Ms:', 'MALPASS, Andrew:', 'RUSSELL, William Vernon:', 'SLATFORD, Karen:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
131393,ACCLOUD PLC,09847722,"['OAKWOOD CORPORATE SECRETARY LIMITED:', 'JAMES, Ross:', 'NAPPER, Isabel Josephine Sutherland:', 'PAU, Amit:']","['Secretary', 'Director', 'Director', 'Director']"
133491,ACCROL GROUP HOLDINGS PLC,09019496,"['ALMOND, Richard Douglas:', 'ALLPORT, Simon:', 'HAMILTON, Euan Graeme:', 'JENKINS, Gareth Paul:', 'NEWMAN, Richard Hugh:', 'WRIGHT, Daniel Patrick:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
133587,ACCSYS TECHNOLOGIES PLC,05534340,"['DODWELL, Angus John:', 'CHRISTIE, Michael Sean:', 'HARRIS, Robert John:', 'MAIR, Susan Jane:', 'MEYER, Montague John:', 'ODELL, Stephen Terence:', 'RUDGE, William Bickerton:', 'SCHOOLENBERG, Geertrui Elizabeth, Dr:', 'WESSELS, Alexander Roeland:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
133702,ACCUGAS HOLDINGS UK PLC,11950135,"['ROSS, Jessica:', 'BEATTIE, Nicholas:', 'LAWSON, Olusola Ajose Akinkunmi:', 'MACDONALD, Sean Gerard:', 'ROSS, Jessica Kate:', 'SEMEGA-JANNEH, Isatou:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
135413,ACE LIBERTY & STONE PLC,06223892,"['INTERNATIONAL REGISTRARS LIMITED:', 'EL-ROUSSTOM, Hikmat:', 'GHANDOUR, Ismail Fadel:', 'GHORAYEB, Antonios Hanna, Dr:', 'GHORAYEB, Kayssar:', 'MINTER, Ivan William:', 'PANKHURST, Keith:', 'THOMAS, Mark Constable:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
137322,ACG RENTED PROPERTIES PLC,02439673,"['MORRIS, Petra:', 'JOSEPH, Derek Maurice:', 'TAYLOR, Denis Newman:']","['Secretary', 'Director', 'Director']"
137939,ACHILLES THERAPEUTICS PLC,13027460,"['HOOD, Daniel Carey Cazel:', 'OAKWOOD CORPORATE SECRETARY LIMITED:', 'ALI, Iraj Leo Kiryakos Keverian, Dr:', 'BOESS, Carsten:', 'DIROCCO, Derek:', 'GIORDANO, Michael Francis:', 'MOSES, Edwin:', 'MURPHY, Martin:', 'ROOSWINKEL, Rogier Wouter, Dr.:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
138058,ACHP PLC,04200676,"['BRUCE, Martha Blanche Waymark:', 'BAXTER, Stephen Richard:', 'GREGET, Alban:', 'MOHN, Marvin David:', 'TEMPLE-BOYER, Heloise:', 'TRUFFERT, Philippe:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
139588,ACO TECHNOLOGIES PLC,01854115,"['SKIPPER, Kevin John:', 'AHLMANN, Hans Julius:', 'AHLMANN, Thomas Iver:', 'HILL, Richard William:', 'SIMPSON LANE, Michael John:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
142039,ACRE DEBT 2 PLC,12635042,"['TMF CORPORATE ADMINISTRATION SERVICES LIMITED:', 'SAVJANI, Nita Ramesh:', 'JOINT CORPORATE SERVICES LIMITED:', 'TMF CORPORATE DIRECTORS LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
145467,ACTIVE ELECTRONICS PLC,01531348,"['MICHELMORES SECRETARIES LIMITED:', 'HOMEWOOD, Clive Lionel:', 'SCOTT, Clive Rowland:']","['Secretary', 'Director', 'Director']"
145473,ACTIVE ENERGY GROUP PLC,03148295,"['CARGIL MANAGEMENT SERVICES LIMITED:', 'AITKEN, Maxwell Francis:', 'DIAMOND, Andrew Lee:', 'LEAHY, James Gerald:', 'ROWAN, Michael:', 'ZIMMERMANN, Jason:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
146799,ACTIVTRADES LOANS PLC,11995458,"['SILVESTER, Jonathan:', 'CLOWES, Steve:', 'PUSCO, Alexandre:']","['Secretary', 'Director', 'Director']"
146800,ACTIVTRADES PLC,05367727,"['SILVESTER, Jonathan Daniel:', 'DRAGHI, Andrea:', 'GHO, Alessandro Giuseppe:', 'PUSCO, Alexandre:', 'REED, John:', 'STOREY, Patrick Desmond:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
147204,ACTUAL EXPERIENCE PLC,06838738,"['BENNETTS, Roy Stephen:', 'BENNETTS, Roy Stephen:', 'CARSBERG, Bryan Victor, Sir:', 'DAVIDSON, Stephen James:', 'ENGLISH, Kirsten:', 'PAGE, David John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
147671,ACULAB PLC,01397386,"['CHARMAN, Judith:', 'BAGHAI-RAVARY, Ladan, Dr:', 'CHARMAN, Judith:', 'POUND, Alan:']","['Secretary', 'Director', 'Director', 'Director']"
152861,ADAPTIMMUNE THERAPEUTICS PLC,09338148,"['HENRY, Margaret:', 'ALLEVA, Lawrence Michael:', 'BEHBAHANI, Ali, Dr:', 'DUNCAN, Barbara Gayle:', 'FUREY, John Paul:', 'MOTT, David Morrell:', 'NOBLE, James Julian:', 'RAWCLIFFE, Adrian George:', 'SIGAL, C Elliott, Dr:', 'ZAKS, Tal Zvi, Dr:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
153331,ADATTO FINANCIAL SERVICES PLC,07185920,"['ADLER LIMITED:', 'COZZETTO, Marino Vincenzo:', 'MARANO, Rosario:', 'ROSTOVA, Nina:']","['Secretary', 'Director', 'Director', 'Director']"
154929,ADDISON PROJECT PLC,03300272,"['ADDISON, Marcus Alan:', 'ADDISON, Marcus Alan:', 'ADDISON SERVICE COMPANY LIMITED:']","['Secretary', 'Director', 'Director']"
157011,ADEPT TECHNOLOGY GROUP PLC,04682431,"['DENTONS SECRETARIES LIMITED:', 'BLIGH, Richard:', 'FISHWICK, Ian Michael:', 'LOVETT, Paul Andrew:', 'RACE, Phil:', 'SWAITE, John Peter:', 'WILSON, Craig Alaister:', 'WILSON, Roger Parmley:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
157678,ADG SYSTEMS PLC,02530874,"['GOODMAN, Brenda:', 'GOODMAN, Alan David:', 'GOODMAN, Brenda:']","['Secretary', 'Director', 'Director']"
157844,ADHAN COMMERCIALS PLC,08506013,"['PATEL, Mustaq Ahmed Ismail:', 'PATEL, Mohmed Salim Ismail:', 'PATEL, Mustaq Ahmed Ismail:']","['Secretary', 'Director', 'Director']"
158479,ADIMI INGENIEUR- UND PLANUNGSBUERO PLC,12964552,"['LEGAL SECRETARIES LTD:', 'HASKOURI, Samir:', 'LEGAL SECRETARIES LTD:']","['Secretary', 'Director', 'Director']"
158781,ADITUS DIGITAL PLC,11267736,"['JAGATIA, Nilesh Kumar:', 'ESQULANT, Samantha:', 'GUNN, John William:']","['Secretary', 'Director', 'Director']"
159336,ADL PLC,02463465,"['DAVIES, William Jeremy:', 'DAVIES, William Jeremy:', 'JACKSON, Pearl Lorraine:', 'WELLS, William Henry Weston, Sir:']","['Secretary', 'Director', 'Director', 'Director']"
159779,ADM ENERGY PLC,05311866,"['HARBER, Ben:', 'BELLINGHAM, Henry Campbell, Lord:', 'CARTER, Richard James:', 'FRANCIS, Peter Frederick:', 'LAMBOLEY, Manuel Fabrice Jean-Georges:', 'LIEBING, Stefan, Dr:', 'OKHOMINA, Osamede:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
